dataset_name,protein,condition,replicate,source_file,source_folder,track_id,cell_id,video_id,n_frames,track_length,is_control,control_role,P_free_like,P_chromatin_bound_like,P_mcm_bound_like,supervised_control_prediction,distance_to_NLS_centroid,distance_to_H2B_centroid,distance_to_MCM2_Bound_centroid,nearest_control_class,nearest_control_distance,control_outlier_score,is_control_outlier,max_trap_dwell_frames,mean_trap_dwell_frames,trap_prob_mean,frac_supported_high_score_windows,max_consecutive_diffusive,frac_bound,frac_constrained,frac_diffusive,max_consecutive_constrained,max_consecutive_bound,n_state_switches,trapping_score,temporal_score,n_supported_high_score_windows,supported_temporal_trapping,diffusive_burst_flag,final_control_guided_class,classification_reason,_join_key,old_classification,old_trapping_score_mean,old_trapping_score_max,old_temporal_track_score,old_trapping_like,review_priority_score,inspection_reason
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,9,2.0,3,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,119.0,119.0,0.9999839653240252,1.0,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|3|2|9,trapping_like,2.2745559738500822,3.1753159253803798,4.873571528116559,True,9.145241038318911,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,167,1.0,4,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,120.0,120.0,0.9999840451369408,0.7181818181818181,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|4|1|167,trapping_like,1.6090937475786682,2.6494828887271247,4.913344295295743,True,9.1168108776267,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,94,5.0,7,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,108.0,108.0,0.9999829898328392,0.7142857142857143,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|7|5|94,trapping_like,1.6761237898374448,3.13088308503016,4.436071040370965,True,9.108158220024723,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,155,1.0,2,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,59.0,59.0,0.999974225442844,0.8163265306122449,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|2|1|155,trapping_like,2.2954802979807507,3.010538109854053,2.4872030218123307,True,9.052533992583436,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,47,2.0,1,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,66.0,66.0,0.9999762742612844,0.75,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|1|2|47,trapping_like,1.6807980135584142,2.5761698481825097,2.765613137130642,True,9.04264524103832,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,121,4.0,3,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,80.0,80.0,0.999979296268484,0.4857142857142857,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|3|4|121,trapping_like,1.3001167267152995,2.84987211376622,3.3224328299524237,True,9.035228677379482,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,46,4.0,8,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,59.0,59.0,0.999974225442844,0.7142857142857143,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|8|4|46,trapping_like,1.5396220717644524,2.393109518489635,2.4872030218123307,True,9.008034610630409,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,93,1.0,3,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,48.0,48.0,0.9999697985315704,1.0,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|3|1|93,trapping_like,1.9639120965322705,2.464723329902769,2.049700808356694,True,9.00432632880099,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,35,3.0,5,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,47.0,47.0,0.9999692933327986,0.945945945945946,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|5|3|35,trapping_like,2.271633532598687,2.78474090932899,2.0099278284845807,True,9.004326328800987,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,81,5.0,4,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,77.0,77.0,0.9999787412059368,0.2686567164179104,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|4|5|81,trapping_like,0.9855944297324938,2.1296780935367887,3.203114370602968,True,8.995673671199011,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,14,5.0,4,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,43.0,43.0,0.9999670375615376,0.8484848484848485,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|4|5|14,trapping_like,2.4379523713843274,3.569685541058939,1.8508357915080416,True,8.994437577255871,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
